name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,offensive_index,defensive_index,speed_percentile,physical_special_bias,type_defense_normal,type_defense_fire,type_defense_water,type_defense_grass,type_defense_electric,type_defense_ice,type_defense_fighting,type_defense_poison,type_defense_ground,type_defense_flying,type_defense_psychic,type_defense_bug,type_defense_rock,type_defense_ghost,type_defense_dragon,type_defense_dark,type_defense_steel,type_defense_fairy,Offense_Bias,Defense_Lean,Bulk_Physical,Bulk_Special,Sweep_Index,Num_Resistances,Num_Weaknesses,Type_Synergy,Pivot_Potential,Wall_Potential,Stat_Balance
ampharos,electric,,90,75,85,115,90,55,190,220.0,0.2308411214953271,-0.2105263157894736,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,-0.6375129593375383,0.6193690965101385,0.2408026755852843,0.9469116896375702,-0.6290545340862497,-0.3333333333333333,-0.8,0.254545107768717,-0.36152415296306,0.5804007697035032,0.09948087772368921
annihilape,fighting,ghost,110,115,80,50,90,90,165,225.0,0.6429906542056075,0.3939393939393939,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0,1.0,0.5,1.032653475575449,-0.18974068957265924,0.5484949832775919,-0.29096477794793263,0.390776299744889,0.0,0.0,-0.21212125723139175,0.009928220109781085,-0.1232130083921861,0.3282868995389214
appletun,grass,dragon,110,85,80,100,80,30,185,215.0,0.0448598130841121,-0.081081081081081,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.25,1.0,-0.2798498481486053,2.0010796177175614,0.5484949832775919,1.1128126595201633,-1.1362651720224681,0.6666666666666666,-0.4,0.5656564109785143,-0.8510881101005371,1.10186481830363,1.8238160882849406
araquanid,water,bug,68,70,92,50,132,42,120,258.0,0.1186915887850467,0.1666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,0.5,2.0,1.0,0.5,0.4046885151542532,1.4142527688817021,-0.13217391304347825,-0.8269525267993875,-0.3879169669675864,1.0,0.0,0.4242423553719199,-0.790286320738568,0.6332926988988404,1.2506167675427922
arbok,poison,,60,95,69,65,79,80,160,178.0,0.5214953271028038,0.1875,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,0.46225197589278993,-0.22226068106923447,-0.6983277591973244,-0.6993363961204696,0.20968484272962104,0.0,-0.8,0.5656562381390683,-0.15257506076755392,-0.2547779042706455,-0.45595403878954943
arboliva,grass,normal,78,69,90,125,109,39,194,238.0,0.0943925233644859,-0.2886597938144329,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.25,1.0,-0.8533993370939937,1.5587024572444519,0.07224080267558529,0.7937723328228689,-0.98141154106483,1.0,-0.8,1.0841748348468534,-0.6591425213114378,0.7619258707019012,1.3187593422536579
arcanine,fire,,90,110,80,100,80,95,210,205.0,0.702803738317757,0.0476190476190476,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,1.0,0.07575450319002712,-0.2473938568688776,0.12040133779264214,0.6023481368044921,0.019969986112491307,0.0,0.0,-0.21212125723139175,0.5950085017517031,-0.331355343092314,-0.683931051914956
arceus,normal,,120,120,120,120,120,120,240,300.0,0.9271028037383178,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,-0.055819104556069525,-0.05281441237965465,2.0468227424749164,1.9806023481368045,0.2096848468796335,-0.6666666666666666,-1.6,2.121209867769955,1.8404865969028517,-0.6119344341571041,-1.0942896839758378
archaludon,steel,dragon,90,105,130,125,65,85,230,240.0,0.5841121495327103,-0.0869565217391304,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.25,2.0,-0.29608395708707497,0.5995990050451888,1.3244147157190636,1.1766207248596223,-0.3099688995064033,0.0,0.0,-0.21212125723139175,0.9606408837257068,0.1642168468350477,2.805870969114467e-09
archeops,rock,flying,75,140,65,112,65,110,252,167.5,0.8719626168224299,0.1111111111111111,1.0,2.0,1.0,2.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,4.0,0.5,1.0,1.0,1.0,0.25,1.0,0.2511859848142645,-0.5569520586661423,-0.5016722408026756,0.4492087799897907,-0.043268299034449544,0.0,0.4,-0.4713804367581638,0.9311985758139426,-0.7150988827209622,0.1683522634978487
arctovish,water,ice,90,90,100,80,90,55,170,235.0,0.2308411214953271,0.0588235294117647,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.10671299623930812,0.9554608570233586,0.6020066889632107,0.14293006636038796,-0.4933761059637945,-0.6666666666666666,-0.4,-0.6787879722313622,-0.4423193235116227,0.7209421815653998,-0.19896176539546626
arctozolt,electric,ice,90,100,90,90,80,55,190,215.0,0.2308411214953271,0.0526315789473684,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.0896043553522285,0.7313996833478784,0.3612040133779264,0.37263910158244,-0.6290545340862497,0.0,-0.8,0.5656562381390683,-0.4423193235116227,0.6272479069908018,-0.19896176539546626
ariados,bug,poison,70,90,70,60,70,40,150,175.0,0.1065420560747663,0.2,1.0,0.5,1.0,4.0,1.0,1.0,0.5,0.25,0.5,0.5,2.0,1.0,0.5,0.25,1.0,2.0,0.5,1.0,0.49679004692494755,0.8714379021910396,-0.49498327759197325,-0.622766717713119,-0.7199179682786893,1.3333333333333333,-0.4,0.8484847107438398,-0.841616359880861,0.4400608509052079,0.2735724027557986
armaldo,rock,bug,75,125,100,70,80,45,195,217.5,0.1457943925233644,0.282051282051282,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,2.0,0.25,0.5,0.7235015019700777,1.4533745652374541,0.20066889632107024,-0.3547728432873915,-0.862933783814756,0.6666666666666666,0.4,0.0,-0.659256638783964,0.7408396215960268,0.851114188853306
armarouge,fire,psychic,85,60,100,125,80,75,185,222.5,0.4616822429906542,-0.3513513513513513,1.0,0.5,0.5,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,1.0,1.0,1.0,-1.0266189820480858,0.35796440185536454,0.4682274247491639,1.017100561510975,-0.16718116018960893,0.3333333333333333,0.4,-0.21212119889807587,0.3736776637871023,0.21373376721506374,0.09119080775791014
aromatisse,fairy,,101,72,72,99,89,29,171,211.5,0.0242990654205607,-0.1578947368421052,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,-0.49208949776027233,1.7744430281698211,0.13966555183946489,0.8573251659009699,-1.1066700140653718,-0.6666666666666666,-0.4,-0.6787879722313622,-0.909938490682308,0.9468461298219809,1.6225674080685866
articuno,ice,flying,90,85,100,95,125,85,180,270.0,0.5841121495327103,-0.0555555555555555,1.0,0.5,0.5,4.0,0.5,0.5,2.0,1.0,2.0,2.0,1.0,2.0,0.5,1.0,2.0,1.0,0.25,1.0,-0.2093216525610332,0.16465672394288958,0.6020066889632107,0.48749361919346607,0.09901784277829204,0.6666666666666666,0.8,-0.2121211600091969,0.45943694439055544,-0.002619409826816619,-0.5793298296323611
audino,normal,,103,60,86,60,86,50,120,223.5,0.1906542056074766,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,-0.05581911606876013,0.8344678193847471,0.5640133779264214,-0.11740684022460439,-0.12231616450216626,-0.6666666666666666,-1.6,2.121209867769955,-0.6513140626961392,0.7934494605023225,0.06565737407157297
aurorus,rock,ice,123,77,72,99,92,58,176,225.5,0.2514018691588785,-0.125,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,0.25,1.0,-0.40119983307554463,0.24464610059499922,0.5634782608695652,1.413221031138336,-0.4694081187882677,-0.3333333333333333,0.0,-0.545454560802827,-0.4357461570941124,0.7245690567102228,0.13206944438464613
avalugg,ice,,95,117,184,44,46,28,161,277.5,0.0205607476635514,0.453416149068323,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,1.1969904730477845,6.81305996970072,2.870903010033445,-0.6278713629402757,-1.089449519835218,0.0,0.0,-0.21212125723139175,-0.8338335482545729,2.187257578657855,5.002467031461602
azelf,psychic,,75,125,70,125,70,115,250,177.5,0.9009345794392524,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,-0.05581910409556186,-0.5350330303108314,-0.4013377926421405,0.6980602348136804,0.050324365041820626,-0.6666666666666666,-0.8,-0.21212154889792856,1.2138104965251226,-0.7480933718856728,-0.23449064386774746
azumarill,water,fairy,100,50,80,60,80,50,110,210.0,0.1906542056074766,-0.0909090909090909,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,-0.3070050986387823,0.686587445027804,0.33444816053511706,-0.1633486472690148,0.028593380981280947,-0.6666666666666666,0.0,-0.9898989470462262,-0.6726083830695315,0.7052257226044994,-7.2952643739089385e-09
banette,ghost,,64,115,65,83,63,65,198,160.0,0.3289719626168224,0.1616161616161616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,0.39073374898708646,-0.052814421069206544,-0.6929765886287625,-0.3389484430832057,-0.4744384362044338,-1.0,-0.8,-0.9898992063053373,-0.39425304408357953,0.01294592933638271,-0.19106645276457876
barbaracle,rock,water,72,105,115,54,86,68,159,237.0,0.3663551401869159,0.320754716981132,1.0,4.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,0.8304408609140471,0.798947544420708,0.40936454849498327,-0.7023991832567636,-0.07846697193317341,0.0,0.4,-0.4713804367581638,-0.2071118008878338,0.41965967821557776,0.141852363307801
barraskewda,water,,61,123,60,60,50,136,183,140.5,0.9822429906542056,0.3442622950819672,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,0.8953933787524673,-0.7414730259549887,-0.8267558528428094,-0.7605921388463501,1.1784746593451039,-0.3333333333333333,0.0,-0.545454560802827,0.4163005397756452,-0.9056508729686981,0.7878885691067816
bastiodon,rock,steel,60,52,168,47,138,30,99,336.0,0.0448598130841121,0.0505050505050505,1.0,1.0,0.5,1.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,2.0,0.08372864583766927,5.615933164911466,0.8909698996655518,-0.9749872383869321,-0.5750448072022974,0.3333333333333333,0.4,-0.21212119889807587,-0.7891793812550638,1.5340875890347476,3.9394427930080056
baxcalibur,dragon,ice,115,145,92,75,86,87,220,235.5,0.611214953271028,0.3181818181818182,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.25,1.0,0.8233318300622832,0.01800951840643529,1.0247491638795987,0.5066360387953037,-0.206825504773377,0.0,0.0,-0.21212125723139175,0.2808088646452658,0.03144299257498065,-0.0729526391542389
beartic,ice,,95,130,80,70,80,50,200,207.5,0.1906542056074766,0.3,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.7730946321058617,0.686587445027804,0.22742474916387959,0.002552322613578356,-0.7863181673457063,0.0,0.0,-0.21212125723139175,-0.6371178491138776,0.6562125348834869,0.6565738063731074
beautifly,bug,flying,60,70,50,100,50,65,170,130.0,0.3289719626168224,-0.1764705882352941,1.0,0.5,1.0,4.0,0.5,1.0,1.0,0.5,1.0,0.5,2.0,2.0,0.5,0.5,1.0,2.0,0.25,0.5,-0.5434154259042802,-0.33719975768356836,-1.0033444816053512,-0.1633486472690148,-0.2590224561552042,1.3333333333333333,0.0,0.5656564973982445,-0.38377706010567264,-0.14497425926112478,-7.2952643739089385e-09
beedrill,bug,poison,65,90,40,45,80,75,135,152.5,0.4616822429906542,0.3333333333333333,1.0,0.5,1.0,4.0,1.0,1.0,0.5,0.25,0.5,0.5,2.0,1.0,0.5,0.25,1.0,2.0,0.5,1.0,0.8651961497884336,-0.627904767096719,-1.1103678929765886,-0.9481878509443593,0.43101884268351426,1.3333333333333333,-0.4,0.8484847107438398,-0.5865067500484996,-0.3367452825436484,0.2735724027557986
beheeyem,psychic,,75,75,75,125,95,40,200,207.5,0.1065420560747663,-0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,-0.7465805559956655,1.0254799580426452,-0.3010033444816054,0.6980602348136804,-0.9855187698587732,-0.6666666666666666,-0.8,-0.21212154889792856,-0.6650766298828011,0.5471544142092911,1.2310758762346568
bellibolt,electric,,109,64,91,103,83,45,167,228.5,0.1457943925233644,-0.2335329341317365,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,-0.7010813009592981,1.2069072751902534,0.8478929765886287,1.170750382848392,-0.7087849997635752,-0.3333333333333333,-0.8,0.254545107768717,-0.587225690125415,0.9979951440171675,0.4620334112477836
bellossom,grass,,75,80,95,90,100,50,170,232.5,0.1906542056074766,-0.0588235294117647,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,1.0,-0.21835121483248635,1.0562883809201622,0.10033444816053512,0.02807554874936192,-0.6105529308680896,1.0,-0.4,0.721211974435302,-0.5129009802690888,0.6071993471624743,-7.2952643739089385e-09
bewear,normal,fighting,120,125,80,55,60,60,180,200.0,0.2775700934579439,0.3888888888888889,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,1.0186987007781692,0.3579643963783139,0.7625418060200669,-0.010209290454313425,-0.45431716389504134,0.6666666666666666,-0.4,0.5656564109785143,-0.5470791632906912,0.7138899243393546,0.2984426398031262
bibarel,normal,water,79,85,60,55,60,71,140,159.5,0.4289719626168224,0.2142857142857142,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5362621280693126,-0.24373978655025338,-0.5377926421404682,-0.5857580398162328,0.23814206982050273,-0.3333333333333333,-0.8,0.254545107768717,-0.4266852297755307,-0.05377849867518302,-0.497404408514622
blacephalon,fire,ghost,53,127,53,151,79,107,278,158.5,0.8392523364485981,-0.0863309352517985,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,2.0,1.0,-0.2943554310765892,-0.6747412282967034,-1.054448160535117,0.34788157223072996,-0.24890646776717404,0.3333333333333333,0.8,-0.4242423553719202,1.170160563283844,-0.7613012422047369,0.9291138835007635
blastoise,water,,79,83,100,85,105,78,168,244.5,0.4878504672897196,-0.0119047619047619,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,-0.0887125117986126,0.29476766106608665,0.3076923076923077,0.01914241960183767,0.06739869880579984,-0.3333333333333333,0.0,-0.545454560802827,0.15845211060265418,0.12195367674467815,-0.7154971013578996
blaziken,fire,fighting,80,120,70,110,70,80,230,180.0,0.5214953271028038,0.0434782608695652,2.0,0.5,0.5,2.0,1.0,4.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,2.0,0.5,0.06431332095860554,-0.20685647529152126,-0.3076923076923077,0.5513016845329249,-0.3965778571772643,1.0,0.4,0.1767676686945239,0.1965102876901483,-0.12381748758298994,-0.31265419356063096
blissey,normal,,255,10,10,75,135,55,85,272.5,0.2308411214953271,-0.7647058823529411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,-2.168736485087536,-1.0610897060559614,-1.1237458193979932,3.1865747830525777,0.7955689528193924,-0.6666666666666666,-1.6,2.121209867769955,-0.8260963836172952,1.423649240874883,25.715805462365225
boltund,electric,,69,90,60,90,60,121,180,154.5,0.9364485981308412,0.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,-0.055819108393632855,-0.6740749454653298,-0.6983277591973244,-0.10974987238386932,0.895820252387892,-0.3333333333333333,-0.8,0.254545107768717,0.7288682970249576,-0.8318137398120071,0.018238161551582123
bombirdier,flying,dark,70,103,85,60,85,82,163,205.0,0.5532710280373832,0.263803680981595,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,1.0,0.5,0.5,0.5,0.6730825410282861,-0.007728936799917733,-0.2140468227424749,-0.622766717713119,0.22190573880458986,0.3333333333333333,-0.4,0.37121196151864055,-0.012838215659199596,-0.1457298582496296,-0.31004874637689345
bouffalant,normal,,95,110,95,40,95,55,150,237.5,0.2308411214953271,0.4666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.233602258109789,0.8434302701856187,0.6086956521739131,-0.7248596222562532,-0.3215167639165572,-0.6666666666666666,-1.6,2.121209867769955,-0.6241084572458886,0.7209421815653998,0.8207172447437175
brambleghast,grass,ghost,55,115,70,80,70,90,195,167.5,0.6429906542056075,0.1794871794871795,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,2.0,0.5,2.0,2.0,0.5,0.5,0.5,1.0,0.440112189539924,-0.32666696334250706,-0.7759197324414716,-0.5717202654415519,0.05645361228152896,1.3333333333333333,0.4,0.32634031352796905,0.19137500142646838,-0.4434358597205291,0.09948087772368921
braviary,normal,flying,100,123,75,57,75,80,180,200.0,0.5214953271028038,0.3666666666666666,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.25,1.0,1.0,1.0,0.25,1.0,0.9572976831112093,-0.12983544640295563,0.20066889632107024,-0.23991832567636548,-0.011649158556374824,-0.3333333333333333,-0.4,-0.21212135445357905,-0.16775268461354106,0.03208777037850477,0.17278258104888017
breloom,grass,fighting,60,130,80,60,60,70,190,170.0,0.3981308411214953,0.3684210526315789,2.0,0.5,2.0,0.5,1.0,2.0,1.0,0.25,2.0,0.25,0.5,0.25,4.0,1.0,0.5,2.0,0.5,0.5,0.9621451329799492,0.12323364600164509,-0.5217391304347826,-0.7759060745278203,-0.31452726704312495,1.6666666666666667,0.8,0.25454548110192404,-0.3179312784580446,0.0,0.18238161551582002
bronzong,steel,psychic,67,89,116,79,116,33,168,265.5,0.0682242990654205,0.0595238095238095,1.0,0.5,0.5,1.0,0.5,2.0,2.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.25,2.0,0.10864790205258426,3.0466984254872425,0.27344481605351173,-0.3437978560490046,-0.9997473850693005,0.3333333333333333,0.4,-0.21212119889807587,-0.7689235298816599,0.9761532959227883,1.6580146340538988
brute-bonnet,grass,dark,111,127,99,79,99,55,206,253.5,0.2308411214953271,0.233009708737864,1.0,0.5,2.0,0.5,1.0,1.0,0.5,0.5,2.0,0.5,2.0,0.25,2.0,2.0,0.5,0.5,0.5,0.5,0.5879973899206205,0.9330547396558108,1.134180602006689,0.543389484430832,-0.7186286420650001,2.0,0.4,0.5656565492500845,-0.450398840566479,0.9083307307145955,0.338234992219014
bruxish,water,psychic,68,105,70,70,70,92,175,174.0,0.6757009345794392,0.2,1.0,2.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,1.0,0.5,1.0,2.0,1.0,0.5,1.0,1.0,1.0,0.49679005008271354,-0.34750356999404247,-0.5324414715719064,-0.47983665135273096,0.31213086787316885,0.0,0.4,-0.4713804367581638,0.1565691723059717,-0.42805186431457093,-0.4988673567742286
butterfree,bug,flying,60,45,50,90,80,70,135,160.0,0.3981308411214953,-0.3333333333333333,1.0,0.5,1.0,4.0,0.5,1.0,1.0,0.5,1.0,0.5,2.0,2.0,0.5,0.5,1.0,2.0,0.25,0.5,-0.9768343768092028,-0.4049105511482623,-1.0033444816053512,-0.3164880040837162,0.28346284117721043,1.3333333333333333,0.0,0.5656564973982445,-0.3179312784580446,-0.22698193614684814,-1.2158773875521188e-08
buzzwole,bug,fighting,107,139,139,53,53,79,192,245.5,0.4934579439252336,0.4479166666666667,2.0,0.5,1.0,2.0,1.0,2.0,0.5,0.25,1.0,0.25,1.0,0.5,2.0,0.5,1.0,4.0,0.5,0.25,1.18179515534515,0.8831373255985151,2.173377926421405,-0.2473200612557427,-0.14306622207210554,1.3333333333333333,0.4,0.32634031352796905,0.22184436659096876,0.5492096434580243,0.6813501799491927
cacturne,grass,dark,70,115,60,115,60,55,230,155.0,0.2308411214953271,0.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,0.5,2.0,0.5,2.0,0.25,2.0,2.0,0.5,0.5,0.5,0.5,-0.055819105056621306,0.0592161623214385,-0.6822742474916388,0.35987748851454826,-0.8296226455315696,2.0,0.4,0.5656565492500845,-0.4625181161487633,0.15877653411781303,0.09948087772368921
