name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,offensive_index,defensive_index,speed_percentile,physical_special_bias,type_defense_normal,type_defense_fire,type_defense_water,type_defense_grass,type_defense_electric,type_defense_ice,type_defense_fighting,type_defense_poison,type_defense_ground,type_defense_flying,type_defense_psychic,type_defense_bug,type_defense_rock,type_defense_ghost,type_defense_dragon,type_defense_dark,type_defense_steel,type_defense_fairy,cluster,archetype
ampharos,electric,,90,75,85,115,90,55,190,220.0,0.2153465346534653,-0.2105263157894736,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5,Speed Sweeper
annihilape,fighting,ghost,110,115,80,50,90,90,165,225.0,0.6056105610561056,0.3939393939393939,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,0.5,2.0,2.0,1.0,1.0,1.0,0.5,1,Physical Attacker
appletun,grass,dragon,110,85,80,100,80,30,185,215.0,0.0404290429042904,-0.081081081081081,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,1.0,1.0,0.25,1.0,3,Balanced All-Rounder
araquanid,water,bug,68,70,92,50,132,42,120,258.0,0.1113861386138613,0.1666666666666666,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.5,2.0,0.5,2.0,1.0,2.0,0.5,0.5,2.0,1.0,0.5,1,Physical Attacker
arbok,poison,,60,95,69,65,79,80,160,178.0,0.4867986798679868,0.1875,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,2.0,7,Generalist
arboliva,grass,normal,78,69,90,125,109,39,194,238.0,0.0899339933993399,-0.2886597938144329,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,0.25,1.0,3,Balanced All-Rounder
arcanine,fire,,90,110,80,100,80,95,210,205.0,0.6757425742574258,0.0476190476190476,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,1.0,6,Fast Attacker
arceus,normal,,120,120,120,120,120,120,240,300.0,0.9191419141914192,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,7,Generalist
archaludon,steel,dragon,90,105,130,125,65,85,230,240.0,0.5486798679867987,-0.0869565217391304,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.25,2.0,11,Balanced All-Rounder
archeops,rock,flying,75,140,65,112,65,110,252,167.5,0.8597359735973598,0.1111111111111111,1.0,2.0,1.0,2.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,4.0,0.5,1.0,1.0,1.0,0.25,1.0,4,Defensive Tank
arctovish,water,ice,90,90,100,80,90,55,170,235.0,0.2153465346534653,0.0588235294117647,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10,Defensive Tank
arctozolt,electric,ice,90,100,90,90,80,55,190,215.0,0.2153465346534653,0.0526315789473684,1.0,0.5,1.0,1.0,0.5,0.5,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,5,Speed Sweeper
ariados,bug,poison,70,90,70,60,70,40,150,175.0,0.1006600660066006,0.2,1.0,0.5,1.0,4.0,1.0,1.0,0.5,0.25,0.5,0.5,2.0,1.0,0.5,0.25,1.0,2.0,0.5,1.0,7,Generalist
armaldo,rock,bug,75,125,100,70,80,45,195,217.5,0.1353135313531353,0.282051282051282,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,2.0,0.25,0.5,4,Defensive Tank
armarouge,fire,psychic,85,60,100,125,80,75,185,222.5,0.4298679867986799,-0.3513513513513513,1.0,0.5,0.5,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,1.0,1.0,1.0,0,Fast Attacker
aromatisse,fairy,,101,72,72,99,89,29,171,211.5,0.0214521452145214,-0.1578947368421052,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,11,Balanced All-Rounder
articuno,ice,flying,90,85,100,95,125,85,180,270.0,0.5486798679867987,-0.0555555555555555,1.0,0.5,0.5,4.0,0.5,0.5,2.0,1.0,2.0,2.0,1.0,2.0,0.5,1.0,2.0,1.0,0.25,1.0,11,Balanced All-Rounder
audino,normal,,103,60,86,60,86,50,120,223.5,0.1765676567656765,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,7,Generalist
aurorus,rock,ice,123,77,72,99,92,58,176,225.5,0.2351485148514851,-0.125,1.0,1.0,0.5,2.0,1.0,1.0,0.5,1.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,1.0,0.25,1.0,4,Defensive Tank
avalugg,ice,,95,117,184,44,46,28,161,277.5,0.0181518151815181,0.453416149068323,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,11,Balanced All-Rounder
azelf,psychic,,75,125,70,125,70,115,250,177.5,0.8943894389438944,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,Fast Attacker
azumarill,water,fairy,100,50,80,60,80,50,110,210.0,0.1765676567656765,-0.0909090909090909,1.0,1.0,0.5,0.5,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,10,Defensive Tank
banette,ghost,,64,115,65,83,63,65,198,160.0,0.3085808580858086,0.1616161616161616,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,7,Generalist
barbaracle,rock,water,72,105,115,54,86,68,159,237.0,0.3432343234323432,0.320754716981132,1.0,4.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,4,Defensive Tank
barraskewda,water,,61,123,60,60,50,136,183,140.5,0.9793729372937292,0.3442622950819672,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,2,Generalist
bastiodon,rock,steel,60,52,168,47,138,30,99,336.0,0.0404290429042904,0.0505050505050505,1.0,1.0,0.5,1.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,2.0,10,Defensive Tank
baxcalibur,dragon,ice,115,145,92,75,86,87,220,235.5,0.5742574257425742,0.3181818181818182,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.25,1.0,11,Balanced All-Rounder
beartic,ice,,95,130,80,70,80,50,200,207.5,0.1765676567656765,0.3,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,11,Balanced All-Rounder
beautifly,bug,flying,60,70,50,100,50,65,170,130.0,0.3085808580858086,-0.1764705882352941,1.0,0.5,1.0,4.0,0.5,1.0,1.0,0.5,1.0,0.5,2.0,2.0,0.5,0.5,1.0,2.0,0.25,0.5,7,Generalist
beedrill,bug,poison,65,90,40,45,80,75,135,152.5,0.4298679867986799,0.3333333333333333,1.0,0.5,1.0,4.0,1.0,1.0,0.5,0.25,0.5,0.5,2.0,1.0,0.5,0.25,1.0,2.0,0.5,1.0,7,Generalist
beheeyem,psychic,,75,75,75,125,95,40,200,207.5,0.1006600660066006,-0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,Fast Attacker
bellibolt,electric,,109,64,91,103,83,45,167,228.5,0.1353135313531353,-0.2335329341317365,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5,Speed Sweeper
bellossom,grass,,75,80,95,90,100,50,170,232.5,0.1765676567656765,-0.0588235294117647,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,1.0,3,Balanced All-Rounder
bewear,normal,fighting,120,125,80,55,60,60,180,200.0,0.2599009900990099,0.3888888888888889,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,1,Physical Attacker
bibarel,normal,water,79,85,60,55,60,71,140,159.5,0.4001650165016501,0.2142857142857142,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,2,Generalist
blacephalon,fire,ghost,53,127,53,151,79,107,278,158.5,0.8267326732673267,-0.0863309352517985,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,2.0,1.0,6,Fast Attacker
blastoise,water,,79,83,100,85,105,78,168,244.5,0.4554455445544554,-0.0119047619047619,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,2,Generalist
blaziken,fire,fighting,80,120,70,110,70,80,230,180.0,0.4867986798679868,0.0434782608695652,2.0,0.5,0.5,2.0,1.0,4.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,2.0,0.5,6,Fast Attacker
blissey,normal,,255,10,10,75,135,55,85,272.5,0.2153465346534653,-0.7647058823529411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,11,Balanced All-Rounder
boltund,electric,,69,90,60,90,60,121,180,154.5,0.9282178217821784,0.0,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,5,Speed Sweeper
bombirdier,flying,dark,70,103,85,60,85,82,163,205.0,0.5165016501650165,0.263803680981595,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,1.0,0.5,0.5,0.5,7,Generalist
bouffalant,normal,,95,110,95,40,95,55,150,237.5,0.2153465346534653,0.4666666666666667,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,7,Generalist
brambleghast,grass,ghost,55,115,70,80,70,90,195,167.5,0.6056105610561056,0.1794871794871795,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,2.0,0.5,2.0,2.0,0.5,0.5,0.5,1.0,3,Balanced All-Rounder
braviary,normal,flying,100,123,75,57,75,80,180,200.0,0.4867986798679868,0.3666666666666666,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.25,1.0,1.0,1.0,0.25,1.0,7,Generalist
breloom,grass,fighting,60,130,80,60,60,70,190,170.0,0.3729372937293729,0.3684210526315789,2.0,0.5,2.0,0.5,1.0,2.0,1.0,0.25,2.0,0.25,0.5,0.25,4.0,1.0,0.5,2.0,0.5,0.5,3,Balanced All-Rounder
bronzong,steel,psychic,67,89,116,79,116,33,168,265.5,0.0618811881188118,0.0595238095238095,1.0,0.5,0.5,1.0,0.5,2.0,2.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.25,2.0,0,Fast Attacker
brute-bonnet,grass,dark,111,127,99,79,99,55,206,253.5,0.2153465346534653,0.233009708737864,1.0,0.5,2.0,0.5,1.0,1.0,0.5,0.5,2.0,0.5,2.0,0.25,2.0,2.0,0.5,0.5,0.5,0.5,3,Balanced All-Rounder
bruxish,water,psychic,68,105,70,70,70,92,175,174.0,0.6402640264026402,0.2,1.0,2.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,1.0,0.5,1.0,2.0,1.0,0.5,1.0,1.0,1.0,2,Generalist
butterfree,bug,flying,60,45,50,90,80,70,135,160.0,0.3729372937293729,-0.3333333333333333,1.0,0.5,1.0,4.0,0.5,1.0,1.0,0.5,1.0,0.5,2.0,2.0,0.5,0.5,1.0,2.0,0.25,0.5,7,Generalist
buzzwole,bug,fighting,107,139,139,53,53,79,192,245.5,0.462046204620462,0.4479166666666667,2.0,0.5,1.0,2.0,1.0,2.0,0.5,0.25,1.0,0.25,1.0,0.5,2.0,0.5,1.0,4.0,0.5,0.25,1,Physical Attacker
cacturne,grass,dark,70,115,60,115,60,55,230,155.0,0.2153465346534653,0.0,1.0,0.5,2.0,0.5,1.0,1.0,0.5,0.5,2.0,0.5,2.0,0.25,2.0,2.0,0.5,0.5,0.5,0.5,3,Balanced All-Rounder
calyrex,psychic,grass,100,80,80,80,80,80,160,210.0,0.4867986798679868,0.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,0.5,1.0,0.25,1.0,3,Balanced All-Rounder
camerupt,fire,ground,70,100,70,105,75,40,205,180.0,0.1006600660066006,-0.024390243902439,1.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,4.0,1.0,8,Fast Attacker
carbink,rock,fairy,50,50,150,50,150,50,100,325.0,0.1765676567656765,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.25,1.0,10,Defensive Tank
carnivine,grass,,74,100,72,90,72,46,190,181.0,0.1493399339933993,0.0526315789473684,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,1.0,3,Balanced All-Rounder
carracosta,water,rock,74,108,133,83,65,32,191,235.0,0.0585808580858085,0.1308900523560209,1.0,4.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,4,Defensive Tank
castform,normal,,70,70,70,70,70,70,140,175.0,0.3729372937293729,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,7,Generalist
celebi,psychic,grass,100,100,100,100,100,100,200,250.0,0.7533003300330033,0.0,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,0.5,1.0,0.25,1.0,3,Balanced All-Rounder
celesteela,steel,flying,97,101,103,107,101,61,208,252.5,0.2813531353135313,-0.0288461538461538,1.0,0.5,0.5,2.0,0.25,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,2.0,11,Balanced All-Rounder
centiskorch,fire,bug,100,115,65,90,90,65,205,205.0,0.3085808580858086,0.1219512195121951,1.0,0.25,0.5,4.0,1.0,2.0,0.5,0.5,1.0,0.5,2.0,2.0,0.5,0.5,0.5,2.0,1.0,0.5,6,Fast Attacker
ceruledge,fire,ghost,75,125,80,60,100,85,185,217.5,0.5486798679867987,0.3513513513513513,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,2.0,1.0,6,Fast Attacker
cetitan,ice,,170,113,65,45,55,73,158,205.0,0.41006600660066,0.430379746835443,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,11,Balanced All-Rounder
chandelure,ghost,fire,60,55,90,145,90,80,200,210.0,0.4867986798679868,-0.45,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,2.0,1.0,6,Fast Attacker
charizard,fire,flying,78,84,78,109,85,100,193,202.0,0.7533003300330033,-0.1295336787564766,1.0,0.5,0.5,4.0,0.5,2.0,2.0,1.0,1.0,1.0,1.0,4.0,0.25,1.0,0.5,1.0,1.0,1.0,6,Fast Attacker
chatot,normal,flying,76,65,45,92,42,91,157,125.0,0.6320132013201321,-0.1719745222929936,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.25,1.0,1.0,1.0,0.25,1.0,7,Generalist
cherrim,grass,,70,60,70,87,78,85,147,183.0,0.5486798679867987,-0.1836734693877551,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,1.0,3,Balanced All-Rounder
chesnaught,grass,fighting,88,107,122,74,75,64,181,241.0,0.2846534653465346,0.1823204419889502,2.0,0.5,2.0,0.5,1.0,2.0,1.0,0.25,2.0,0.25,0.5,0.25,4.0,1.0,0.5,2.0,0.5,0.5,3,Balanced All-Rounder
chi-yu,dark,fire,55,80,80,135,120,100,215,227.5,0.7533003300330033,-0.2558139534883721,1.0,0.5,0.5,2.0,1.0,2.0,0.5,1.0,1.0,1.0,2.0,1.0,0.5,2.0,0.5,0.5,2.0,0.5,6,Fast Attacker
chien-pao,dark,ice,80,120,80,90,65,135,210,185.0,0.9735973597359736,0.1428571428571428,1.0,0.5,0.5,2.0,1.0,0.5,0.5,1.0,2.0,2.0,2.0,0.5,1.0,2.0,2.0,0.5,0.5,0.5,11,Balanced All-Rounder
chimecho,psychic,,75,50,80,95,90,65,145,207.5,0.3085808580858086,-0.3103448275862069,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,Fast Attacker
cinccino,normal,,75,95,60,65,60,115,160,157.5,0.8943894389438944,0.1875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,7,Generalist
cinderace,fire,,80,116,75,65,75,119,181,190.0,0.9117161716171616,0.281767955801105,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,1.0,6,Fast Attacker
clawitzer,water,,71,73,88,120,89,59,193,212.5,0.2392739273927392,-0.2435233160621761,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,2,Generalist
claydol,ground,psychic,60,70,105,70,120,75,140,255.0,0.4298679867986799,0.0,1.0,2.0,1.0,0.5,2.0,1.0,2.0,4.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2,Generalist
clefable,fairy,,95,70,73,95,90,60,165,210.5,0.2599009900990099,-0.1515151515151515,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,11,Balanced All-Rounder
clodsire,poison,ground,130,75,60,45,100,20,120,225.0,0.0115511551155115,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,2.0,2.0,2,Generalist
cloyster,water,ice,50,95,180,85,45,70,180,250.0,0.3729372937293729,0.0555555555555555,1.0,1.0,0.25,1.0,1.0,0.5,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10,Defensive Tank
coalossal,rock,fire,110,80,120,80,90,30,160,265.0,0.0404290429042904,0.0,1.0,1.0,0.5,2.0,1.0,4.0,0.5,1.0,0.5,2.0,1.0,4.0,0.5,1.0,0.5,1.0,1.0,1.0,10,Defensive Tank
cobalion,steel,fighting,91,90,129,90,72,108,180,246.5,0.8341584158415841,0.0,2.0,0.5,0.5,1.0,0.5,4.0,1.0,0.5,1.0,0.5,0.5,0.5,4.0,1.0,1.0,2.0,0.5,1.0,1,Physical Attacker
cofagrigus,ghost,,58,50,145,95,105,30,145,279.0,0.0404290429042904,-0.3103448275862069,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,7,Generalist
comfey,fairy,,51,52,90,82,110,100,134,225.5,0.7533003300330033,-0.2238805970149253,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,11,Balanced All-Rounder
conkeldurr,fighting,,105,140,95,55,65,45,195,212.5,0.1353135313531353,0.4358974358974359,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,0.5,2.0,1.0,1.0,2.0,1.0,0.5,1,Physical Attacker
copperajah,steel,,122,130,69,80,69,30,210,199.0,0.0404290429042904,0.238095238095238,1.0,0.5,0.5,1.0,0.5,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,2.0,11,Balanced All-Rounder
corviknight,flying,steel,98,87,105,53,85,67,140,239.0,0.3366336633663366,0.2428571428571428,1.0,0.5,0.5,2.0,0.25,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,2.0,11,Balanced All-Rounder
crabominable,fighting,ice,97,132,77,62,67,43,194,192.5,0.1163366336633663,0.3608247422680412,2.0,0.5,0.5,2.0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,0.5,2.0,1.0,2.0,2.0,0.5,0.5,11,Balanced All-Rounder
cradily,rock,grass,86,81,97,81,107,43,162,247.0,0.1163366336633663,0.0,1.0,1.0,2.0,0.5,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.25,1.0,3,Balanced All-Rounder
cramorant,flying,water,70,85,55,85,95,85,170,185.0,0.5486798679867987,0.0,1.0,2.0,0.5,1.0,0.5,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,2,Generalist
crawdaunt,water,dark,63,120,85,90,55,55,210,171.5,0.2153465346534653,0.1428571428571428,1.0,2.0,0.5,0.5,1.0,1.0,0.5,1.0,2.0,1.0,2.0,0.5,2.0,2.0,0.5,0.5,2.0,0.5,2,Generalist
cresselia,psychic,,120,70,110,75,120,85,145,290.0,0.5486798679867987,-0.0344827586206896,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0,Fast Attacker
crobat,poison,flying,85,90,80,70,80,130,160,202.5,0.9628712871287128,0.125,1.0,1.0,1.0,4.0,0.5,1.0,2.0,0.5,0.5,1.0,1.0,2.0,0.25,0.5,1.0,1.0,0.5,2.0,7,Generalist
crustle,bug,rock,70,105,125,65,75,45,170,235.0,0.1353135313531353,0.2352941176470588,1.0,1.0,1.0,2.0,1.0,2.0,0.25,0.5,0.5,1.0,2.0,2.0,1.0,0.5,1.0,2.0,0.25,0.5,4,Defensive Tank
cryogonal,ice,,80,50,50,95,135,105,145,225.0,0.8094059405940595,-0.3103448275862069,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,11,Balanced All-Rounder
cursola,ghost,,60,95,50,145,130,30,240,210.0,0.0404290429042904,-0.2083333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,7,Generalist
cyclizar,dragon,normal,70,95,65,85,65,121,180,165.0,0.9282178217821784,0.0555555555555555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,2.0,1.0,0.25,1.0,11,Balanced All-Rounder
dachsbun,fairy,,57,80,115,50,80,95,130,223.5,0.6757425742574258,0.2307692307692307,1.0,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,1.0,11,Balanced All-Rounder
