name,type1,type2,hp,attack,defense,special-attack,special-defense,speed,id,offensive_index,defensive_index,speed_percentile,physical_special_bias,physical_bulk,special_bulk,bulk_bias,offense_to_bulk_ratio,speed_to_bulk_ratio,special_bulk_percentile,physical_bulk_percentile,type_defense_normal,type_defense_fire,type_defense_water,type_defense_grass,type_defense_electric,type_defense_ice,type_defense_fighting,type_defense_poison,type_defense_ground,type_defense_flying,type_defense_psychic,type_defense_bug,type_defense_rock,type_defense_ghost,type_defense_dragon,type_defense_dark,type_defense_steel,type_defense_fairy,bst,cluster,archetype
banette,ghost,,64,115,65,83,63,65,,198,160.0,0.3008784773060029,0.1616161616161616,4160,4032,-0.015625,1.2374999922656251,0.4062499974609375,0.0805270863836017,0.1244509516837481,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.5,1.0,1.0,455,3,Physical Attacker
barbaracle,rock,water,72,105,115,54,86,68,,159,237.0,0.3338213762811127,0.320754716981132,8280,6192,-0.1442786069651741,0.6708860731186241,0.2869198300129965,0.4333821376281113,0.7108345534407028,1.0,4.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,500,9,Physical Attacker
barraskewda,water,,61,123,60,60,50,136,,183,140.5,0.9773060029282576,0.3442622950819672,3660,3050,-0.0909090909090909,1.3024910939324477,0.9679715233596332,0.034407027818448,0.0702781844802342,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,490,10,Fast Attacker
bastiodon,rock,steel,60,52,168,47,138,30,,99,336.0,0.0373352855051244,0.0505050505050505,10080,8280,-0.0980392156862745,0.2946428562659439,0.0892857140199829,0.712298682284041,0.8462664714494875,1.0,1.0,0.5,1.0,0.5,4.0,0.5,1.0,0.5,2.0,1.0,2.0,2.0,1.0,1.0,1.0,0.25,2.0,495,5,Defensive Tank
baxcalibur,dragon,ice,115,145,92,75,86,87,,220,235.5,0.5651537335285505,0.3181818181818182,10580,9890,-0.0337078651685393,0.9341825862667408,0.3694267500236656,0.83601756954612,0.8777452415812591,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.25,1.0,600,2,Physical Attacker
beartic,ice,,95,130,80,70,80,50,,200,207.5,0.1756954612005856,0.3,7600,7600,0.0,0.9638554170416608,0.2409638542604151,0.6281112737920937,0.6017569546120058,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,505,2,Defensive Tank
beautifly,bug,flying,60,70,50,100,50,65,,170,130.0,0.3008784773060029,-0.1764705882352941,3000,3000,0.0,1.3076922976331362,0.4999999961538462,0.0314787701317716,0.0380673499267935,1.0,0.5,1.0,4.0,0.5,1.0,1.0,0.5,1.0,0.5,2.0,2.0,0.5,0.5,1.0,2.0,0.25,0.5,395,3,Balanced All-Rounder
beedrill,bug,poison,65,90,40,45,80,75,,135,152.5,0.4150805270863836,0.3333333333333333,2600,5200,0.3333333333333333,0.8852458958344531,0.4918032754635851,0.2562225475841874,0.0234260614934114,1.0,0.5,1.0,4.0,1.0,1.0,0.5,0.25,0.5,0.5,2.0,1.0,0.5,0.25,1.0,2.0,0.5,1.0,395,3,Balanced All-Rounder
beheeyem,psychic,,75,75,75,125,95,40,,200,207.5,0.0951683748169839,-0.25,5625,7125,0.1176470588235294,0.9638554170416608,0.1927710834083321,0.5644216691068814,0.3455344070278184,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,485,0,Balanced All-Rounder
bellibolt,electric,,109,64,91,103,83,45,,167,228.5,0.1332357247437774,-0.2335329341317365,9919,9047,-0.0459770114942528,0.7308533884864185,0.1969365418077175,0.7891654465592972,0.8155197657393851,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,495,8,Balanced All-Rounder
bellossom,grass,,75,80,95,90,100,50,,170,232.5,0.1756954612005856,-0.0588235294117647,7125,7500,0.0256410256410256,0.7311827925540525,0.2150537625158978,0.6127379209370425,0.5351390922401171,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,1.0,490,8,Balanced All-Rounder
bewear,normal,fighting,120,125,80,55,60,60,,180,200.0,0.2532942898975109,0.3888888888888889,9600,7200,-0.1428571428571428,0.8999999955,0.2999999985,0.5849194729136163,0.7972181551976574,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,1.0,2.0,0.5,0.5,500,3,Balanced All-Rounder
bibarel,normal,water,79,85,60,55,60,71,,140,159.5,0.3887262079062957,0.2142857142857142,4740,4740,0.0,0.8777429412053734,0.4451410630398679,0.1749633967789165,0.1947291361639824,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,410,10,Balanced All-Rounder
blacephalon,fire,ghost,53,127,53,151,79,107,,278,158.5,0.8096632503660323,-0.0863309352517985,2809,4187,0.1969696969696969,1.7539432065997274,0.6750788600941396,0.0980966325036603,0.0322108345534407,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,2.0,1.0,570,6,Fast Attacker
blastoise,water,,79,83,100,85,105,78,,168,244.5,0.4436310395314787,-0.0119047619047619,7900,8295,0.024390243902439,0.6871165616068853,0.3190184036031967,0.7144948755490483,0.6456808199121523,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,2.0,1.0,530,10,Balanced All-Rounder
blaziken,fire,fighting,80,120,70,110,70,80,,230,180.0,0.4721815519765739,0.0434782608695652,5600,5600,0.0,1.2777777706790123,0.4444444419753086,0.3367496339677892,0.33601756954612,2.0,0.5,0.5,2.0,1.0,4.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,2.0,0.5,530,6,Balanced All-Rounder
blissey,normal,,255,10,10,75,135,55,,85,272.5,0.212298682284041,-0.7647058823529411,2550,34425,0.8620689655172413,0.3119266043599024,0.2018348616446427,0.9985358711566618,0.0219619326500732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,540,2,Defensive Tank
boltund,electric,,69,90,60,90,60,121,,180,154.5,0.9143484626647144,0.0,4140,4140,0.0,1.1650485361485532,0.7831715159665275,0.0937042459736456,0.1215226939970717,1.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,490,8,Fast Attacker
bombirdier,flying,dark,70,103,85,60,85,82,,163,205.0,0.4992679355783309,0.263803680981595,5950,5950,0.0,0.7951219473408686,0.3999999980487805,0.3865300146412884,0.3799414348462664,1.0,1.0,1.0,2.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,2.0,1.0,0.5,0.5,0.5,485,3,Physical Attacker
bouffalant,normal,,95,110,95,40,95,55,,150,237.5,0.212298682284041,0.4666666666666667,9025,9025,0.0,0.6315789447091413,0.2315789463933518,0.7869692532942899,0.7745241581259151,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,490,3,Balanced All-Rounder
brambleghast,grass,ghost,55,115,70,80,70,90,,195,167.5,0.5966325036603221,0.1794871794871795,3850,3850,0.0,1.164179097527289,0.5373134296279796,0.0636896046852123,0.0834553440702781,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,2.0,0.5,2.0,2.0,0.5,0.5,0.5,1.0,480,8,Physical Attacker
braviary,normal,flying,100,123,75,57,75,80,,180,200.0,0.4721815519765739,0.3666666666666666,7500,7500,0.0,0.8999999955,0.399999998,0.6127379209370425,0.5856515373352855,1.0,1.0,1.0,2.0,0.5,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0.25,1.0,1.0,1.0,0.25,1.0,510,3,Physical Attacker
breloom,grass,fighting,60,130,80,60,60,70,,190,170.0,0.3623718887262079,0.3684210526315789,4800,3600,-0.1428571428571428,1.117647052249135,0.4117647034602076,0.0534407027818448,0.2035139092240117,2.0,0.5,2.0,0.5,1.0,2.0,1.0,0.25,2.0,0.25,0.5,0.25,4.0,1.0,0.5,2.0,0.5,0.5,460,8,Physical Attacker
bronzong,steel,psychic,67,89,116,79,116,33,,168,265.5,0.0592972181551976,0.0595238095238095,7772,7772,0.0,0.6327683591986126,0.1242937848425846,0.657393850658858,0.6251830161054173,1.0,0.5,0.5,1.0,0.5,2.0,2.0,2.0,1.0,1.0,0.5,1.0,2.0,1.0,1.0,1.0,0.25,2.0,500,0,Defensive Tank
brute-bonnet,grass,dark,111,127,99,79,99,55,,206,253.5,0.212298682284041,0.233009708737864,10989,10989,0.0,0.8126232709561212,0.2169625237989644,0.9106881405563688,0.8872620790629575,1.0,0.5,2.0,0.5,1.0,1.0,0.5,0.5,2.0,0.5,2.0,0.25,2.0,2.0,0.5,0.5,0.5,0.5,570,8,Balanced All-Rounder
bruxish,water,psychic,68,105,70,70,70,92,,175,174.0,0.6310395314787701,0.2,4760,4760,0.0,1.0057471206566255,0.5287356291451976,0.1800878477306003,0.1976573938506588,1.0,2.0,0.5,0.5,1.0,1.0,2.0,2.0,2.0,1.0,0.5,1.0,2.0,1.0,0.5,1.0,1.0,1.0,475,1,Physical Attacker
butterfree,bug,flying,60,45,50,90,80,70,,135,160.0,0.3623718887262079,-0.3333333333333333,3000,4800,0.2307692307692307,0.8437499947265625,0.437499997265625,0.1881405563689604,0.0380673499267935,1.0,0.5,1.0,4.0,0.5,1.0,1.0,0.5,1.0,0.5,2.0,2.0,0.5,0.5,1.0,2.0,0.25,0.5,395,3,Balanced All-Rounder
buzzwole,bug,fighting,107,139,139,53,53,79,,192,245.5,0.4494875549048316,0.4479166666666667,14873,5671,-0.4479166666666667,0.7820773898897051,0.3217922593817016,0.349926793557833,0.9736456808199122,2.0,0.5,1.0,2.0,1.0,2.0,0.5,0.25,1.0,0.25,1.0,0.5,2.0,0.5,1.0,4.0,0.5,0.25,570,3,Physical Attacker
cacturne,grass,dark,70,115,60,115,60,55,,230,155.0,0.212298682284041,0.0,4200,4200,0.0,1.4838709581685745,0.3548387073881374,0.109809663250366,0.1354319180087847,1.0,0.5,2.0,0.5,1.0,1.0,0.5,0.5,2.0,0.5,2.0,0.25,2.0,2.0,0.5,0.5,0.5,0.5,475,8,Balanced All-Rounder
calyrex,psychic,grass,100,80,80,80,80,80,,160,210.0,0.4721815519765739,0.0,8000,8000,0.0,0.7619047582766441,0.380952379138322,0.6852122986822841,0.6559297218155198,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,0.5,1.0,0.25,1.0,500,8,Balanced All-Rounder
camerupt,fire,ground,70,100,70,105,75,40,,205,180.0,0.0951683748169839,-0.024390243902439,4900,5250,0.0344827586206896,1.1388888825617285,0.2222222209876543,0.2767203513909224,0.2298682284040995,1.0,1.0,0.5,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,4.0,1.0,460,1,Balanced All-Rounder
carbink,rock,fairy,50,50,150,50,150,50,,100,325.0,0.1756954612005856,0.0,7500,7500,0.0,0.3076923067455621,0.153846153372781,0.6127379209370425,0.5856515373352855,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.25,1.0,500,4,Defensive Tank
carnivine,grass,,74,100,72,90,72,46,,190,181.0,0.1500732064421669,0.0526315789473684,5328,5328,0.0,1.0497237511064987,0.2541436450047312,0.2957540263543192,0.2928257686676427,1.0,0.5,2.0,0.5,1.0,1.0,1.0,0.5,2.0,0.5,1.0,0.5,2.0,1.0,0.5,1.0,0.5,1.0,454,8,Balanced All-Rounder
carracosta,water,rock,74,108,133,83,65,32,,191,235.0,0.0556368960468521,0.1308900523560209,9842,4810,-0.3434343434343434,0.81276595398823,0.1361702121865097,0.1961932650073206,0.8111273792093704,1.0,4.0,0.5,0.5,1.0,2.0,0.5,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.5,1.0,1.0,1.0,495,9,Generalist
castform,normal,,70,70,70,70,70,70,,140,175.0,0.3623718887262079,0.0,4900,4900,0.0,0.7999999954285715,0.3999999977142857,0.2174231332357247,0.2298682284040995,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,420,3,Balanced All-Rounder
celebi,psychic,grass,100,100,100,100,100,100,,200,250.0,0.7379209370424598,0.0,10000,10000,0.0,0.7999999968,0.3999999984,0.8587115666178624,0.8338213762811127,1.0,0.5,2.0,0.5,1.0,1.0,2.0,1.0,2.0,0.5,0.5,0.5,2.0,1.0,0.5,1.0,0.25,1.0,600,8,Fast Attacker
celesteela,steel,flying,97,101,103,107,101,61,,208,252.5,0.2745241581259151,-0.0288461538461538,9991,9797,-0.0098039215686274,0.8237623729751985,0.2415841574590726,0.8345534407027818,0.821376281112738,1.0,0.5,0.5,2.0,0.25,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.25,2.0,570,2,Defensive Tank
centiskorch,fire,bug,100,115,65,90,90,65,,205,205.0,0.3008784773060029,0.1219512195121951,6500,9000,0.1612903225806451,0.9999999951219511,0.3170731691850089,0.7767203513909224,0.452415812591508,1.0,0.25,0.5,4.0,1.0,2.0,0.5,0.5,1.0,0.5,2.0,2.0,0.5,0.5,0.5,2.0,1.0,0.5,525,6,Physical Attacker
ceruledge,fire,ghost,75,125,80,60,100,85,,185,217.5,0.5314787701317716,0.3513513513513513,6000,7500,0.1111111111111111,0.8505747087329899,0.3908045959043467,0.6127379209370425,0.390922401171303,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,2.0,1.0,525,6,Physical Attacker
cetitan,ice,,170,113,65,45,55,73,,158,205.0,0.397510980966325,0.430379746835443,11050,9350,-0.0833333333333333,0.7707317035574064,0.3560975592385485,0.8060029282576867,0.8982430453879942,1.0,0.5,0.5,2.0,1.0,0.5,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,1.0,521,2,Physical Attacker
chandelure,ghost,fire,60,55,90,145,90,80,,200,210.0,0.4721815519765739,-0.45,5400,5400,0.0,0.9523809478458052,0.380952379138322,0.3162518301610542,0.3118594436310395,1.0,0.5,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,2.0,0.5,0.5,2.0,1.0,520,6,Balanced All-Rounder
